0,0,0.183503419,2.632993162,0,0,0.09175171,1.316496581,1
0.378679656,1.5,2.5,4.621320344,0.792893219,1.75,1.75,2.207106781,0.646446609
1.378679656,3,4,5.621320344,2.585786438,3.5,3.5,4.414213562,0.646446609
3.378679656,5,6.5,8.621320344,4.585786438,5.6,5.6,6.414213562,0.575735931
6.585786438,7.5,8,9.414213562,6.792893219,7.666666667,7.666666667,8.207106781,0.76429774
7.367006838,9.816496581,10,10,8.683503419,9.90824829,10,10,1
0,0,0.275255129,3.949489743,0,0,0.09175171,1.316496581,1
0.585786438,1.5,2,3.414213562,0.792893219,1.666666667,1.666666667,2.207106781,0.76429774
1.171572875,3,4.5,6.828427125,2.792893219,3.6,3.6,4.207106781,0.575735931
3.378679656,5.5,6.5,7.621320344,5.792893219,6.25,6.25,7.207106781,0.646446609
5.378679656,7,8,9.621320344,6.792893219,7.5,7.5,8.207106781,0.646446609
7.367006838,9.816496581,10,10,8.683503419,9.90824829,10,10,1
0,0,0.183503419,2.632993162,0,0,0.09175171,1.316496581,1
0.378679656,2,3,4.621320344,1.792893219,2.5,2.5,3.207106781,0.646446609
1.378679656,3,4,5.621320344,2.585786438,3.5,3.5,4.414213562,0.646446609
3.378679656,5.5,7,8.621320344,5.792893219,6.4,6.4,7.207106781,0.575735931
6.585786438,7.5,8,9.414213562,6.792893219,7.666666667,7.666666667,8.207106781,0.76429774
7.367006838,9.816496581,10,10,8.683503419,9.90824829,10,10,1
